Country,Avg_Order_Value,Num_Orders
Netherlands,2473.3734821428575,224
Australia,1875.9406666666666,90
Denmark,1624.7020930232559,43
Japan,1428.4360606060607,33
EIRE,1131.189548022599,531
Switzerland,1115.1704444444445,90
Norway,1079.832857142857,42
Sweden,880.0984313725489,102
Channel Islands,827.8474074074074,54
Spain,721.74355704698,149
Cyprus,684.9844444444444,36
Portugal,615.6237209302326,86
France,562.1908745874587,606
Germany,550.9149948519948,777
Austria,543.0932558139535,43
Finland,532.9290909090909,55
Italy,507.98046875,64
United Kingdom,438.7147884143054,33386
Belgium,434.08628378378376,148
USA,418.3005,20
Poland,389.3732142857143,28
