Country,Revenue,Num_Customers,Pct_of_Total
United Kingdom,14646931.925997943,5335,83.28526659840782
EIRE,600661.6499999983,3,3.4154774466380906
Netherlands,554035.6599999995,22,3.15035311703894
Germany,428060.9510000005,107,2.434036739197448
France,340687.6700000003,94,1.937215491005102
Australia,168834.65999999992,15,0.9600262867469755
Spain,107539.79000000007,38,0.6114918895874203
Switzerland,100365.34000000003,22,0.5706965896593612
Sweden,89770.04,19,0.5104496799550964
Denmark,69862.19,12,0.39724982328694675
Belgium,64244.76999999998,29,0.3653080948308452
Portugal,52943.639999999985,23,0.3010477002534234
Japan,47138.39,10,0.2680379343609351
Norway,45352.979999999996,12,0.2578857503684958
Channel Islands,44703.76,13,0.2541941608223572
Italy,32510.749999999978,17,0.18486236535708503
Finland,29311.100000000002,13,0.16666854124306757
Cyprus,24659.43999999999,11,0.1402183095370337
Austria,23353.010000000002,13,0.1327896977709731
Greece,19096.18999999999,5,0.10858460209956136
Singapore,13158.16,1,0.07481982363824223
Poland,10902.450000000003,6,0.06199342356566224
Israel,10421.090000000002,4,0.059256318202412034
United Arab Emirates,8949.69,4,0.05088965534823563
Unspecified,8613.65,6,0.048978867401030635
USA,8366.01,9,0.047570738823343915
Lithuania,6553.740000000002,1,0.037265823714781834
Iceland,5633.320000000001,1,0.0320321389083111
Malta,5412.339999999999,2,0.030775604208354658
Canada,4883.040000000001,5,0.027765902802404166
Thailand,3070.539999999998,1,0.01745967986969061
RSA,1933.7400000000005,2,0.010995616846292687
Lebanon,1693.8800000000003,1,0.009631726842077143
Brazil,1411.8700000000001,2,0.008028163846626359
Bahrain,1354.37,2,0.007701207808760961
European Community,1300.2500000000002,1,0.00739347109973009
Korea,1118.51,2,0.006360062572396925
Czech Republic,826.74,1,0.004701002343388467
West Indies,536.4099999999999,1,0.0030501302308065495
Saudi Arabia,145.92,1,0.0008297291312229298
Nigeria,112.57000000000001,1,0.0006400946292610007
