StockCode,Description,Total_Quantity,Revenue
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,109169.0,24905.870000000017
85123A,WHITE HANGING HEART T-LIGHT HOLDER,93640.0,252072.46
23843,"PAPER CRAFT , LITTLE BIRDIE",80995.0,168469.6
84879,ASSORTED COLOUR BIRD ORNAMENT,79913.0,127074.17000000064
23166,MEDIUM CERAMIC TOP STORAGE JAR,77916.0,81416.73000000001
85099B,JUMBO BAG RED RETROSPOT,75759.0,136980.07999999978
17003,BROCADE RING PURSE ,71129.0,14827.71
21977,PACK OF 60 PINK PAISLEY CAKE CASES,55270.0,26733.44999999997
84991,60 TEATIME FAIRY CAKE CASES,53495.0,26121.56999999996
21212,PACK OF 72 RETROSPOT CAKE CASES,46107.0,22214.25999999995
