StockCode,Description,Revenue,Total_Quantity
22423,REGENCY CAKESTAND 3 TIER,286486.2999999999,24914.0
85123A,WHITE HANGING HEART T-LIGHT HOLDER,252072.46,93640.0
23843,"PAPER CRAFT , LITTLE BIRDIE",168469.6,80995.0
85099B,JUMBO BAG RED RETROSPOT,136980.07999999978,75759.0
84879,ASSORTED COLOUR BIRD ORNAMENT,127074.17000000064,79913.0
47566,PARTY BUNTING,103880.22999999991,23611.0
23166,MEDIUM CERAMIC TOP STORAGE JAR,81416.73000000001,77916.0
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,79594.33000000013,29477.0
79321,CHILLI LIGHTS,72860.13999999998,15735.0
21137,BLACK RECORD COVER FRAME,67209.44,19629.0
